,High,Low,Open,Close,Volume,Adj Close,NASDAQ Close,S&P500 Close,sentiment_neutral,sentiment_positive
2021-11-22,165.6999969482422,161.0,161.67999267578125,161.02000427246094,117467900.0,161.02000427246094,15854.759765625,4682.93994140625,0,0
2021-11-23,161.8000030517578,159.05999755859375,161.1199951171875,161.41000366210938,96041900.0,161.41000366210938,15775.1396484375,4690.7001953125,0,0
2021-11-24,162.13999938964844,159.63999938964844,160.75,161.94000244140625,69463600.0,161.94000244140625,15845.23046875,4701.4599609375,0,0
2021-11-26,160.4499969482422,156.36000061035156,159.57000732421875,156.80999755859375,76959800.0,156.80999755859375,15491.66015625,4594.6201171875,0,0
2021-11-29,161.19000244140625,158.7899932861328,159.3699951171875,160.24000549316406,88748200.0,160.24000549316406,15782.830078125,4655.27001953125,0,0
2021-11-30,165.52000427246094,159.9199981689453,159.99000549316406,165.3000030517578,174048100.0,165.3000030517578,15537.6904296875,4567.0,1,0
2021-12-01,170.3000030517578,164.52999877929688,167.47999572753906,164.77000427246094,152052500.0,164.77000427246094,15254.0498046875,4513.0400390625,0,1
2021-12-02,164.1999969482422,157.8000030517578,158.74000549316406,163.75999450683594,136739200.0,163.75999450683594,15381.3203125,4577.10009765625,0,0
2021-12-03,164.9600067138672,159.72000122070312,164.02000427246094,161.83999633789062,117938300.0,161.83999633789062,15085.4697265625,4538.43017578125,0,0
2021-12-06,167.8800048828125,164.27999877929688,164.2899932861328,165.32000732421875,107497000.0,165.32000732421875,15225.150390625,4591.669921875,0,0
2021-12-07,171.5800018310547,168.33999633789062,169.0800018310547,171.17999267578125,120405400.0,171.17999267578125,15686.919921875,4686.75,0,0
2021-12-08,175.9600067138672,170.6999969482422,172.1300048828125,175.0800018310547,116998900.0,175.0800018310547,15786.990234375,4701.2099609375,0,0
2021-12-09,176.75,173.9199981689453,174.91000366210938,174.55999755859375,108923700.0,174.55999755859375,15517.3701171875,4667.4501953125,0,0
2021-12-10,179.6300048828125,174.69000244140625,175.2100067138672,179.4499969482422,115228100.0,179.4499969482422,15630.599609375,4712.02001953125,0,0
2021-12-13,182.1300048828125,175.52999877929688,181.1199951171875,175.74000549316406,153237000.0,175.74000549316406,15413.2802734375,4668.97021484375,0,0
2021-12-14,177.74000549316406,172.2100067138672,175.25,174.3300018310547,139380400.0,174.3300018310547,15237.6396484375,4634.08984375,0,0
2021-12-15,179.5,172.30999755859375,175.11000061035156,179.3000030517578,131063300.0,179.3000030517578,15565.580078125,4709.85009765625,1,0
2021-12-16,181.13999938964844,170.75,179.27999877929688,172.25999450683594,150185800.0,172.25999450683594,15180.4296875,4668.669921875,0,0
2021-12-17,173.47000122070312,169.69000244140625,169.92999267578125,171.13999938964844,195432700.0,171.13999938964844,15169.6796875,4620.64013671875,0,0
2021-12-20,170.5800018310547,167.4600067138672,168.27999877929688,169.75,107499100.0,169.75,14980.9404296875,4568.02001953125,0,0
2021-12-21,173.1999969482422,169.1199951171875,171.55999755859375,172.99000549316406,91185900.0,172.99000549316406,15341.08984375,4649.22998046875,0,1
2021-12-22,175.86000061035156,172.14999389648438,173.0399932861328,175.63999938964844,92135300.0,175.63999938964844,15521.8896484375,4696.56005859375,0,0
2021-12-23,176.85000610351562,175.27000427246094,175.85000610351562,176.27999877929688,68356600.0,176.27999877929688,15653.3701171875,4725.7900390625,0,1
2021-12-27,180.4199981689453,177.07000732421875,177.08999633789062,180.3300018310547,74919600.0,180.3300018310547,15871.259765625,4791.18994140625,0,0
2021-12-28,181.3300018310547,178.52999877929688,180.16000366210938,179.2899932861328,79144300.0,179.2899932861328,15781.7197265625,4786.35009765625,0,1
2021-12-29,180.6300048828125,178.13999938964844,179.3300018310547,179.3800048828125,62348900.0,179.3800048828125,15766.2197265625,4793.06005859375,0,1
2021-12-30,180.57000732421875,178.08999633789062,179.47000122070312,178.1999969482422,59773000.0,178.1999969482422,15741.5595703125,4778.72998046875,1,0
2021-12-31,179.22999572753906,177.25999450683594,178.08999633789062,177.57000732421875,64062300.0,177.57000732421875,15644.9697265625,4766.18017578125,0,0
2022-01-03,182.8800048828125,177.7100067138672,177.8300018310547,182.00999450683594,104487900.0,182.00999450683594,15832.7998046875,4796.56005859375,1,0
2022-01-04,182.94000244140625,179.1199951171875,182.6300048828125,179.6999969482422,99310400.0,179.6999969482422,15622.7197265625,4793.5400390625,0,0
2022-01-05,180.1699981689453,174.63999938964844,179.61000061035156,174.9199981689453,94537600.0,174.9199981689453,15100.169921875,4700.580078125,0,0
2022-01-06,175.3000030517578,171.63999938964844,172.6999969482422,172.0,96904000.0,172.0,15080.8603515625,4696.0498046875,0,0
2022-01-07,174.13999938964844,171.02999877929688,172.88999938964844,172.1699981689453,86580100.0,172.1699981689453,14935.900390625,4677.02978515625,0,1
2022-01-10,172.5,168.1699981689453,169.0800018310547,172.19000244140625,106765600.0,172.19000244140625,14942.830078125,4670.2900390625,0,0
2022-01-11,175.17999267578125,170.82000732421875,172.32000732421875,175.0800018310547,76138300.0,175.0800018310547,15153.4501953125,4713.06982421875,0,0
2022-01-12,177.17999267578125,174.82000732421875,176.1199951171875,175.52999877929688,74805200.0,175.52999877929688,15188.3896484375,4726.35009765625,1,0
2022-01-13,176.6199951171875,171.7899932861328,175.77999877929688,172.19000244140625,84505800.0,172.19000244140625,14806.8095703125,4659.02978515625,0,0
2022-01-14,173.77999877929688,171.08999633789062,171.33999633789062,173.07000732421875,80355000.0,173.07000732421875,14893.75,4662.85009765625,0,0
2022-01-18,172.5399932861328,169.41000366210938,171.50999450683594,169.8000030517578,90956700.0,169.8000030517578,14506.900390625,4577.10986328125,0,0
2022-01-19,171.0800018310547,165.94000244140625,170.0,166.22999572753906,94815000.0,166.22999572753906,14340.259765625,4532.759765625,0,0
2022-01-20,169.67999267578125,164.17999267578125,166.97999572753906,164.50999450683594,91420500.0,164.50999450683594,14154.01953125,4482.72998046875,0,0
2022-01-21,166.3300018310547,162.3000030517578,164.4199981689453,162.41000366210938,122501300.0,162.41000366210938,13768.919921875,4397.93994140625,0,0
2022-01-24,162.3000030517578,154.6999969482422,160.02000427246094,161.6199951171875,162706700.0,161.6199951171875,13855.1298828125,4410.1298828125,0,0
2022-01-25,162.75999450683594,157.02000427246094,158.97999572753906,159.77999877929688,115798400.0,159.77999877929688,13539.2900390625,4356.4501953125,0,0
2022-01-26,164.38999938964844,157.82000732421875,163.5,159.69000244140625,107740600.0,159.69000244140625,13542.1201171875,4349.93017578125,0,0
2022-01-27,163.83999633789062,158.27999877929688,162.4499969482422,159.22000122070312,116691400.0,159.22000122070312,13352.7802734375,4326.509765625,0,1
2022-01-28,170.35000610351562,162.8000030517578,165.7100067138672,170.3300018310547,179485800.0,170.3300018310547,13770.5703125,4431.85009765625,0,1
